time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
1702252800,74.93,65.87,74.81,4436831.66,308479568.76,70.24,direct,""
1702339200,72.44,65.75,70.24,3105047.56,215905905.74,68.54,direct,""
1702425600,73.26,63.76,68.54,3170616.88,216654897.34,70.63,direct,""
1702512000,76.23,68.45,70.63,3034526.84,219979414.24,75.68,direct,""
1702598400,79.44,72.09,75.68,3412317.82,258890929.58,72.52,direct,""
1702684800,77.17,71.18,72.52,2435607.52,180819746.35,73.67,direct,""
1702771200,74.9,70.42,73.67,2008361.11,146257335.89,70.77,direct,""
1702857600,75.46,67.08,70.77,3100244.04,219825107.3,74.41,direct,""
1702944000,76.3,71.78,74.41,2419136.85,179576744.2,73.02,direct,""
1703030400,84.12,72.96,73.02,4832819.52,383777008.35,82.23,direct,""
1703116800,95.61,81.09,82.23,4945843.27,440410282.27,93.89,direct,""
1703203200,99.54,90.34,93.89,5020448.85,480720090.97,98.01,direct,""
1703289600,110,92.93,98.01,3597164.57,362619938.06,107.95,direct,""
1703376000,118.04,107.41,107.95,5562390.38,628208432.61,112.54,direct,""
1703462400,125.95,108.04,112.54,4275805.98,503068530.81,120.95,direct,""
1703548800,121.32,102.17,120.95,5175768.18,579248989.42,112.48,direct,""
1703635200,115.32,104.83,112.48,3771780.65,413243902,106.93,direct,""
1703721600,109.66,97.11,106.93,4160920.18,425584617.17,101.85,direct,""
1703808000,109.92,99.56,101.85,3904141.42,413104821.04,106.19,direct,""
1703894400,107.42,100.74,106.19,1142643.64,118196065.17,101.9,direct,""
1703980800,105.14,99.44,101.9,1494163.59,153333876.77,101.73,direct,""
1704067200,110.25,101.48,101.73,1753352.59,185540221.33,110.02,direct,""
1704153600,117,106.05,110.02,3028143.75,336798402.45,106.76,direct,""
1704240000,109.96,84.21,106.76,4773846.78,473070625.93,98.59,direct,""
1704326400,108.13,96.77,98.59,2585745.87,265350577.19,105.02,direct,""
1704412800,105.48,95.4,105.02,2281511.48,227782153.75,100.01,direct,""
1704499200,100.31,91.66,100.01,1636157.59,155614848.08,93.83,direct,""
